name,slug,city,status,matched_polygon,score
Bluffs of Flintrock,bluffs-of-flintrock,Lake Travis,HAS_POLYGON,bluffs-of-flintrock,1.0
Bohls Place,bohls-place,Pflugerville,HAS_POLYGON,bohls-place,1.0
Boulders at Crystal Falls,boulders-at-crystal-falls,Leander,HAS_POLYGON,boulders-at-crystal-falls,1.0
Bouldin,bouldin,Austin,HAS_POLYGON,bouldin,1.0
Bradford Park,bradford-park,Round Rock,HAS_POLYGON,bradford-park,1.0
Brangus Ranch,brangus-ranch,Georgetown,HAS_POLYGON,brangus-ranch,1.0
Bratton Park,bratton-park,Austin,HAS_POLYGON,bratton-park,1.0
Breakaway Park,breakaway-park,Cedar Park,HAS_POLYGON,breakaway-park,1.0
Brentwood,brentwood,Austin,HAS_POLYGON,brentwood,1.0
Briarpatch,briarpatch,Austin,HAS_POLYGON,briarpatch,1.0
Briarwood,briarwood,Georgetown,HAS_POLYGON,briarwood,1.0
Bridgehead,bridgehead,Austin,HAS_POLYGON,bridgehead,1.0
Bridges of Bear Creek,bridges-of-bear-creek,Austin,HAS_POLYGON,bridges-of-bear-creek,1.0
Brodie Springs,brodie-springs,Austin,HAS_POLYGON,brodie-springs,1.0
Brookfield Estates,brookfield-estates,Pflugerville,HAS_POLYGON,brookfield-estates,1.0
Brookhollow,brookhollow,Pflugerville,HAS_POLYGON,brookhollow,1.0
Brooks Hollow,brooks-hollow,Lake Travis,HAS_POLYGON,brooks-hollow,1.0
Brushy Creek,brushy-creek,Round Rock,HAS_POLYGON,brushy-creek,1.0
Brushy Creek Estates,brushy-creek-estates,Hutto,FUZZY_MATCH,Dry Creek Estates,0.865
Brushy Creek Meadows,brushy-creek-meadows,Hutto,HAS_POLYGON,brushy-creek-meadows,1.0
Brushy Slope,brushy-slope,Round Rock,HAS_POLYGON,brushy-slope,1.0
Buckingham Estates,buckingham-estates,Austin,HAS_POLYGON,buckingham-estates,1.0
Buckingham Ridge,buckingham-ridge,Austin,HAS_POLYGON,buckingham-ridge,1.0
Buda,buda,TX,HAS_POLYGON,buda,1.0
Buffalo Gap,buffalo-gap,Lake Travis,HAS_POLYGON,buffalo-gap,1.0
Bull Creek Ranch,bull-creek-ranch,Austin,HAS_POLYGON,bull-creek-ranch,1.0
Buttercup Creek,buttercup-creek,Cedar Park,HAS_POLYGON,buttercup-creek,1.0
Caballa Ranch,caballa-ranch,Leander,FUZZY_MATCH,Caballo Ranch,0.923
Caballo Ranch,caballo-ranch,Cedar Park,HAS_POLYGON,caballo-ranch,1.0
Calhoun's Corner,calhouns-corner,Austin,HAS_POLYGON,calhouns-corner,1.0
Cambridge Estates,cambridge-estates,Pflugerville,HAS_POLYGON,cambridge-estates,1.0
Cambridge Heights,cambridge-heights,Pflugerville,HAS_POLYGON,cambridge-heights,1.0
Camelot,camelot,West Lake Hills,HAS_POLYGON,camelot,1.0
Cameron Industrial,cameron-industrial,Austin,NEEDS_POLYGON,Centex Industrial,0.8
Cannon Oaks,cannon-oaks,Austin,HAS_POLYGON,cannon-oaks,1.0
Cantarra,cantarra,Pflugerville,HAS_POLYGON,cantarra,1.0
Canterbury Trails,canterbury-trails,Austin,HAS_POLYGON,canterbury-trails,1.0
Canyon Creek,canyon-creek,Austin,HAS_POLYGON,canyon-creek,1.0
Canyon Creek West,canyon-creek-west,Austin,FUZZY_MATCH,Canyon Creek Estates,0.865
Canyon Gate,canyon-gate,Austin,NEEDS_POLYGON,Canyon Glen,0.818
Canyon Glen,canyon-glen,Austin,HAS_POLYGON,canyon-glen,1.0
Canyon Ridge,canyon-ridge,Austin,HAS_POLYGON,canyon-ridge,1.0
Canyon Rim,canyon-rim,Austin,HAS_POLYGON,canyon-rim,1.0
Canyon Villas,canyon-villas,Austin,HAS_POLYGON,canyon-villas,1.0
Cardinal Hills,cardinal-hills,Lake Travis,HAS_POLYGON,cardinal-hills,1.0
Carol Meadows,carol-meadows,Hutto,HAS_POLYGON,carol-meadows,1.0
Carrell Oaks,carrell-oaks,Austin,HAS_POLYGON,carrell-oaks,1.0
Carriage Hills,carriage-hills,Manor,HAS_POLYGON,carriage-hills,1.0
Carriage Hills,carriage-hills,Cedar Park,HAS_POLYGON,carriage-hills,1.0
Carriage Oaks,carriage-oaks,Liberty Hill,HAS_POLYGON,carriage-oaks,1.0
Carson Creek,carson-creek,Austin,HAS_POLYGON,carson-creek,1.0
Casa Loma,casa-loma,Georgetown,NEEDS_POLYGON,Las Lomas,0.778
Castlewood Forest,castlewood-forest,Austin,HAS_POLYGON,castlewood-forest,1.0
Cat Hollow,cat-hollow,Round Rock,HAS_POLYGON,cat-hollow,1.0
Cat Mountain,cat-mountain,Austin,HAS_POLYGON,cat-mountain,1.0
CCR,ccr,Austin,NEEDS_POLYGON,Coers,0.5
Cedar Park,cedar-park,Texas,NEEDS_POLYGON,Cedar Park Villas,0.741
Cedar Park Ranchettes,cedar-park-ranchettes,Cedar Park,HAS_POLYGON,cedar-park-ranchettes,1.0
Cedar Park Town Center,cedar-park-town-center,Cedar Park,HAS_POLYGON,cedar-park-town-center,1.0
Centennial Park,centennial-park,Austin,HAS_POLYGON,centennial-park,1.0
Central,central,Austin,HAS_POLYGON,Central Park,1.0
Central East Austin,central-east-austin,Austin,HAS_POLYGON,central-east-austin,1.0
Champion City Park,champion-city-park,Austin,NEEDS_POLYGON,Cameron Park,0.667
Champions Forest,champions-forest,Austin,HAS_POLYGON,champions-forest,1.0
