name,slug,city,status,matched_polygon,score
Jester Point,jester-point,Austin,NEEDS_POLYGON,Settlers Point,0.769
Jonestown,jonestown,Texas,NEEDS_POLYGON,Jamestown,0.778
Kercheville Estates,kercheville-estates,Austin,NEEDS_POLYGON,Turnersville Estates,0.769
Kingsbery Park,kingsbery-park,Manor,NEEDS_POLYGON,Rivery Park,0.72
Lake Travis Bluff,lake-travis-bluff,Lake Travis,NEEDS_POLYGON,Travis Bluff,0.828
Lakeline,lakeline,Leander,NEEDS_POLYGON,Lakeline Oaks,0.762
Lakeside Terrace,lakeside-terrace,Lake Travis,NEEDS_POLYGON,Hillside Terrace,0.812
Lakeway Centre,lakeway-centre,Lakeway,NEEDS_POLYGON,Lakeline Center,0.69
Legends of Lone Star,legends-of-lone-star,Hutto,NEEDS_POLYGON,Gardens of Balcones,0.667
Liberty Hill,liberty-hill,Texas,NEEDS_POLYGON,Timber Hills,0.75
Limestone at Wells Branch,limestone-at-wells-branch,Austin,NEEDS_POLYGON,Lake at Wells Branch,0.8
Lockhart,lockhart,Texas,NEEDS_POLYGON,Lakehurst,0.588
Lost River Ranches,lost-river-ranches,Georgetown,NEEDS_POLYGON,Blanco River Ranch,0.778
Luther Peterson,luther-peterson,Round Rock,NEEDS_POLYGON,The Timbers,0.615
Magnolia,magnolia,Leander,NEEDS_POLYGON,Magnolia Creek,0.727
Manana West,manana-west,Austin,NEEDS_POLYGON,Maconda Park West,0.714
Manor,manor,TX,NEEDS_POLYGON,Mesa North,0.667
Mansfield,mansfield,Lake Travis,NEEDS_POLYGON,Masonfield,0.842
Marble Falls,marble-falls,Lake Travis,NEEDS_POLYGON,Agave Falls,0.696
Market District,market-district,Austin,NEEDS_POLYGON,Hawthorne at the District,0.65
Marshall Ford/Marshall Ford Vista,marshall-fordmarshall-ford-vista,Lake Travis,NEEDS_POLYGON,Marshall Ford Vista,0.731
Mason and Rye,mason-and-rye,Round Rock,NEEDS_POLYGON,Mason Creek,0.667
Max Keilbar,max-keilbar,Austin,NEEDS_POLYGON,Keilbar,0.778
Mcsheperd Ranches Ridgeline Ranchettes,mcsheperd-ranches-ridgeline-ranchettes,Lake Travis,NEEDS_POLYGON,Steiner Ranch River Dance,0.571
Meadows at Trinity Crossing,meadows-at-trinity-crossing,Austin,NEEDS_POLYGON,Low Water Crossing,0.667
Medway Ranch,medway-ranch,Lake Travis,NEEDS_POLYGON,McCarty Ranch,0.72
Mission Bethany,mission-bethany,Austin,NEEDS_POLYGON,Mission Oaks,0.667
Monterey/Belcara,montereybelcara,Austin,NEEDS_POLYGON,Montebella,0.692
Mooreland,mooreland,Austin,NEEDS_POLYGON,Crestland,0.667
Morningside,morningside,Austin,NEEDS_POLYGON,Morningside Meadows,0.733
Mountain Ridge,mountain-ridge,Austin,NEEDS_POLYGON,Mountain View,0.815
North Crossing,north-crossing,Austin,NEEDS_POLYGON,The Crossing,0.846
North East,north-east,Austin,NEEDS_POLYGON,Northwest,0.842
Northwest Hills Ranch,northwest-hills-ranch,Austin,NEEDS_POLYGON,NORTHWEST HILLS,0.833
Oak Knoll Estates,oak-knoll-estates,Austin,NEEDS_POLYGON,Oak Run Estates,0.812
Oakmont Centre,oakmont-centre,Round Rock,NEEDS_POLYGON,Oakmont Forest,0.714
Oaks of Jollyville,oaks-of-jollyville,Austin,NEEDS_POLYGON,JOLLYVILLE,0.714
Overlook at River Place,overlook-at-river-place,Austin,NEEDS_POLYGON,Ranch at River Place,0.744
Panther Hollow,panther-hollow,Austin,NEEDS_POLYGON,The Hollows,0.8
Paradise Cove,paradise-cove,Lake Travis,NEEDS_POLYGON,Paradise Valley,0.786
Park 35,park-35,Austin,NEEDS_POLYGON,Park Side,0.625
Parmer Center,parmer-center,Austin,NEEDS_POLYGON,Palm Creek Center,0.733
Parmer North,parmer-north,Austin,NEEDS_POLYGON,Parmer South,0.833
Phillips Ranch on Lake Austin,phillips-ranch-on-lake-austin,Austin,NEEDS_POLYGON,Peninsula on Lake Austin,0.717
Plaza De Las Lomas,plaza-de-las-lomas,Austin,NEEDS_POLYGON,Las Lomas,0.667
Quarry,quarry,Austin,NEEDS_POLYGON,Quarry Oaks,0.706
Rainbow Crossing,rainbow-crossing,Round Rock,NEEDS_POLYGON,Ryans Crossing,0.8
Red River,red-river,Austin,NEEDS_POLYGON,Orchard Drive,0.636
